中央机构,地市级政府,区县级政府,乡镇级政府,村委会,居委会,街道办,公安机关,公证处,法院,司法局,检察院,消防局,工商局,税务局,财政局,民政局,交管局,电信局,测绘院/勘测院/规划院,海关,"委,办,局",档案馆,产权交易中心,涉外机构,驻地机构,党派团体,福利机构
,国家城市供水水质监测网深圳监测站,宝安区人民调解工作指导委员会办公室,宝安区观澜街道市政服务中心,,翠竹街道办事处翠苑居民委员会,,坂田派出所,广东省全国教育统一考试定点考场,坑梓镇法庭,市司法局,龙岗区人民检察院检察工作联络站,福永消防中队凤凰分队,白沙岭工商所,宝安区国家税务局观澜税务分局,,,福田交警大队红树林扣车场,,水径报警点,深圳海关,布吉镇岗头中心围村安全文明小区办公室,深圳市南山区档案馆,成宏地产连锁经营,菲律宾方圆旅游有限公司深圳联络处,福建省永定县人民政府驻深圳办事处,北京大学深圳医院红十字会,宝安区福永街道福利院
,国家城市排水监测网深圳监测站,宝安区12348法律服务指挥(协调)中心,宝安区观澜街道城市管理办公室,,东方社区居委会(深南大道),,宝岗派出所,广东天平建筑工程造价司法鉴定所,罗湖区法院,深圳市盐田区海山司法所,罗湖区人民检察院检察服务进社区工作点,福永消防中队和平分队,翠竹工商所,宝安区地方税务局福永税务所,,,福永街道办事处交通协管队,,深圳市蓝天鹤测绘有限公司,笋岗海关监管仓,布吉街道水径社区工作社,深圳市城市建设档案馆,超美房地产金域蓝湾分行,法国F2F深圳代表处,福建省漳州市人民政府驻深圳办事处,北京大学深圳医院义工联,彩虹社区星光老人之家
,广东省公路管理局深圳路政队,宝安区人民政府城市管理办公室,宝安区城市管理行政执法局大浪街道执法队,,东晓街道兰花社区居民委员会,,宝岗派出所风门坳社区治安办公室,广东信诚建筑工程质量司法鉴定所,龙岗区人民法院坪山人民法庭(东方威尼斯花园北),深圳市宝安区新安司法所,龙岗区人民检察院检察工作联络站,罗湖区公安消防大队田贝中队,翠竹工商所,宝安区地方税务局福永税务所办税服务厅,,,广东省内车辆交通违法罚款代办受理处(书城路),,深圳市长勘勘察设计有限公司宝安办事处,笋岗出入境检验检疫局综合实验楼,布吉街道丽湖社区工作站,深圳市共和国老将军书画档案专馆,创辉租售33分行,法国塞纳贸易有限公司深圳办事处,福建省龙岩市人民政府驻深圳办事处,白求恩医科大学校友会,茶艺康乐中心
,杭州市人民政府招商办公室,宝安区农业科学技术推广中心,宝安区房屋租赁管理办公室松岗房屋租赁管理所,,东乐社区居委会,,宝岗派出所,广东安证计算机司法鉴定所数据分析部,南山区人民法院立案庭,深圳市宝安区新安司法所,龙岗区人民检察院控告申诉检察科接待室,联创科技社区消防室,翠竹工商所,宝安区国家税务局税务违法案件举报中心,,,广东省内车辆交通违法罚款代办受理处,,中国地质工程集团公司深圳分公司,笋岗边检,布吉镇岗头新围仔村安全文明小区办公室,深圳市宝安区档案馆,创辉租售第639分行,法国AURIS驻深圳办事处,福建省三明市人民政府驻深圳办事处,布吉街道金排社区妇女工作委员会,赤尾社区捐助接收工作点
,杭州市人民政府招商办公室,宝安区查处违法建筑工作办公室,宝安区观澜街道城市管理办公室,,大水坑大三社区居民委员会,,宝岗派出所治安报警点,广东省电梯产品质量监督检验站(深圳),平湖法庭,深圳市宝安区公证处龙华办证点,龙岗区人民检察院检察工作联络站,龙岗区平湖街道办消防中队,东湖工商所,布吉国税分局,,,广东省公路管理局机荷东路政队,,,深圳经济特区布吉检查站验证厅,布吉镇城管办雪象村分所,深圳市宝安区档案馆,创辉租售第87分行,韩国智仁贸易（株）,福建省宁化县人民政府驻深圳办事处,布吉街道可园社区老年人协会,德福老年日间照料服务中心
,江西省人民政府驻深圳办事处服务工作站工作点,宝安区城市管理局工会工作委员会,宝安区环境保护和水务局龙华管理所,,大浪街道谭罗社区居民委员会,,布吉公交派出所,广东天平建筑工程造价司法鉴定所,平湖法庭,深圳罗湖区莲塘司法所,南山区人民法院立案庭,龙岗区公安分局消防大队二中队,东湖工商所,布吉国税分局办税服务厅,,,光明交通运输局驻茨田埔社区工作站,,,深圳福田口岸出入境大厅,布吉街道大芬社区工作站,深圳市人事局人才交流服务中心档案馆,创辉租售266分行,韩日曼宝深圳代表处,福建省人民政府驻深圳办事处,布吉街道文景社区老年人协会,大梅沙社区-星光老年之家
,梅州市旅游局深圳旅游推广站,宝安区形象工程领导小组办公室,宝安区政协委员新安街道联络站,,大水坑社区桔老居民小组,,布吉派出所联防中队宝龙分队,广东信诚建筑工程质量司法鉴定所,坪山法庭,深圳市公证处,南山区人民检察院反渎职侵权局,龙华消防中队龙塘分队,东湖工商所,宝安区地方税务局公明税务所办税服务厅,,,光明交通运输局驻东周社区工作站,,,深圳宝安国际机场出入境检验疫局,布吉街道东方半岛社区工作站,深圳市总商会档案室,创辉租售第127分行,韩国Tamul-Multimedia-Co.;Ltd.深圳代表处,福州市人民政府驻深圳办事处,布吉街道东方半岛社区老年人协会,东湖街道东民社区星光老年之家
,梅州市旅游局深圳旅游推广站,宝安区交通局违章处理办证厅,宝安区观澜街道城市管理办公室,,大水坑社区居民委员会,,宝山派出所六联处警点,广东长城司法会计鉴定所,平湖法庭,,南山区人民检察院反渎职侵权局,龙华消防中队新牛分队,福田工商行政管理分局下梅林工商行政管理所,宝安区地方税务局公明税务所,,,光明公路站,,,蛇口海关缉私分局,布吉街道东方半岛社区居民委员会人民调解委员会,总商会阅览室、综合档案室,创辉租售第448分行,韩国ATLab株式会社深圳代表处,福建省人民政府驻深圳办事处,布吉街道东方半岛社区计划生育协会,福田区华富街道田面社区老年人日间照料中心
,梅州市旅游局深圳旅游推广站,宝安区刑释解教人员安置帮教工作领导小组办公室,宝安区出租屋综合管理办公室松岗房屋租赁管理所,,大水坑社区大三居民小组,,坂田派出所治安报警点,国家钟表质量监督检验中心,深圳市南山区人民法院执行局,,南山区人民检察院举报中心,龙华消防中队民治分队,福田工商所,宝安区地方税务局福永税务所办税服务厅,,,广深高速公路公司清障停车场,,,深圳市档案局,布吉街道茂业社区居民委员会人民调解委员会,招商局档案馆,创联地产,韩国J.I.T-CORPORATION株式会计深圳代表处,丰城市驻深圳宝安区招商办事处,布吉街道龙岭社区老年人协会,凤凰社区星光老年之家
,全国物品编码中心深圳分中心,宝安区网吧设立申请报名点,宝安区城市管理行政执法局民治街道执法队,,东晓街道独树社区居民委员会,,宝安区龙华街道清湖社区治安联防队,国家职业技能鉴定所,深圳人事争议仲裁委员会办公室,,南山区人民法院立案庭,南园应急消防分队,福田工商所,宝安区地方税务局福永税务所,,,广东省内车辆交通违法罚款代办受理处,,,深圳海关检验检疫査验场,布吉街道茂业社区居民委员会信访室,招商局档案馆,创辉销售,韩国韩华株式会社深圳代表处,丰城市驻深圳宝安区招商办事处,布吉街道龙岭社区工会联合会,福田区圩镇社区星光老年之家
,全国组织机构代码管理中心深圳分中心,宝安区市容环境综合治理委员会办公室,宝安区公明街道工作委员会,,东湖街道梧桐社区居民委员会,,宝安区交警大队公明中队,国家内燃机发电机组质量监督检验中心第一工作站,深圳市中级人民法院审判业务综合大楼,,南山区人民检察院举报中心,坪地治安消防大队坪东保安中队,福田工商行政管理分局园岭工商行政管理所,宝安区地方税务局福永税务所,,,广深高速公路公司清障停车场,,,深圳笋岗海关货物查验场,布吉镇新三村办公室,招商局档案馆,戴德梁行房地产顾问有限公司,韩国Telechips深圳代表处,福建省福州市人民政府驻深圳办事处,布吉新围商铺治安联防理事会,福田区园岭街道科普志愿者服务站
,全国物品编码中心深圳分中心,宝安区投资联合办公服务中心,宝安区城市管理行政执法局华龙街道执法队,,凤凰社区-平湖墟居民委员会,,宝安流塘派出所户籍室,国家食品药品监督管理总局广州医疗器械质量监督检验中心(深圳),深圳市福田区人民法院执行庭,,深圳市南山区人民检察院,深圳市公安消防局蛇口中队,福田区工商分局金沙工商行政管理所,宝安区地方税务局龙华税务所,,,广东省内车辆交通违法罚款代办受理处(书城路),,,蛇口海关缉私分局,布吉村委办公室,招商局档案馆,富嘉名阁管理处,韩国高丽海运株式会社深圳代表处,广东省海丰县人民政府驻深圳办事处,布吉街道茂业社区社区残疾人协会,福田区福民社区星光老年之家
,全国组织机构代码管理中心深圳分中心,宝安区老校改造新校建设工作办公室,宝安区龙华街道财政办公室,,丰年社区居委会,,宝安交警大队观澜中队,国家质量技术监督局深圳计量检定站,深圳市龙岗区人民法院立案庭,,深圳市南山区反贪污贿赂局,深圳市公安局消防支队特勤大队,福田区消费者委员会香蜜湖监督站,宝安区地方税务局龙华税务所办税服务厅,,,光明公路站,,,中国文锦海关通关一科,布吉街道南三社区工作站,招商局档案馆,房源地产汇港分行,九阳股份有限公司(粤东商务处),国家物资储备局深圳办事处,布吉街道茂业社区老年人协会,福田街道海滨社区捐助接收工作点
,深圳市港口建设费西部征收站,宝安区安全管理委员会办公室,宝安区龙华街道会计核算中心,,福保街道益田社区居民委员会,,宝安公安分局凤凰派出所治安巡防大队凤凰中队,广东省质量技术监督行业职业技能鉴定站,深圳市宝安区劳动争议仲裁院新安派出庭,,深圳市人民检察院检务大厅,深圳市公安局消防支队田贝中队,福田区消费者委员会香蜜湖监督站,宝安区国家税务局税务违法案件举报中心,,,光明公路站,,,中国文锦渡出入境检验检疫局检务二科,布吉街道布吉社区工作站,总商会阅览室、综合档案室,广天地地产百家连锁翠馨分行,加拿大美高公司深圳代表处,广东省韶关市曲江区人民政府驻深圳办事处,布吉社区计划生育协会,福田街道福民社区捐助接收工作点
,深圳海关缉私局(和平路),宝安区文化市场行政执法大队,宝安区观澜社保站,,福田街道福山社区居民委员会,,宝安公安分局三基办正规办联合办公室,广东博思建筑工程造价司法鉴定所,深圳市宝安区人民法院当事人通道,,深圳市人民检察院控告申诉接访室,深圳市公安局消防支队罗湖大队,福田工商分局香蜜湖工商行政管理所,宝安区地方税务局大浪税务所办税服务厅,,,广东省公路管理局机荷东路政队,,,中国文锦渡出入境检验检疫局出口鲜活货物报检处,布吉街道茂业社区工作站,,高峰花园管理处,加拿大代罗杰克公司深圳代表处,广东省韶关市曲江区人民政府驻深圳办事处,布吉街道龙岭社区计划生育协会,福山社区居家养老服务站
,深圳市接待办公室,宝安区房屋公用设施维修基金管理中心,宝安区环境保护和水务局福永管理所,,福民社区茜坑新村居民小组,,宝安交通警察大队民治中队,罗湖区公证处南湖协办点,深圳市宝安新区人民法院法官综治信访维稳工作站,,深圳市人民检察院举报中心,深圳市公安消防局罗湖中队,福田区消费者委员会南园监督站,坂田税务局,,,广东省公路管理局机荷东路政队,,,中国濒危物种进出口管理办公室深圳检查站,宝安区交通场站建设领导小组办公室,,广天地地产华城分行,孟加拉孟中商业工业协会中国办事处,甘肃省定西市人民政府驻深圳劳务工作站,布吉归国华侨联合会,福田街道福山社区社会捐助接收工作点
,深圳市公路局,宝安区依法治区领导小组办公室,宝安区福永街道人民调解委员会,,福民社区洗屋居民小组,,宝安区森林治安巡防大队西乡分队,鹏程职业技能鉴定所,深圳市宝安区松岗人民法庭,,深圳市龙岗区人民检察院举报中心,深圳市福田区消防应急队田面分队,福田区消费者委员会金沙监督站,宝安区国家税务局观澜税务分局,,,光明交通运输局驻东周社区工作站,,,中国海关,宝安区公明街道人民调解委员会,,宏泰地产,美国Trade-Associates-Group;lTD.深圳代表处,甘肃省定西市人民政府驻深圳办事处,宝安新村业主管理委员会,福永街道凤凰村老人康乐中心
,深圳海关机关服务中心,宝安公路管理中心,宝安区人大常委会福永街道工作委员会,,福民社区田背二居民小组,,宝安公安分局新澜社区警务室,深圳市南山区卫生监督所,深圳市宝安区劳动争议仲裁院民治派出庭,,深圳市龙岗区人民检察院举报中心,深圳市森林消防支队,福田工商行政管理分局金沙工商行政管理所,宝安区地方税务局沙井税务所,,,光明交通运输局驻茨田埔社区工作站,,,中国海关报关大厅,宝安区民政局婚姻登记处,,海王地产光彩分部第八部,美国美商智迈企业有限公司深圳代表处,广西壮族自治区崇左市人民政府驻深圳市办事处,宝安工商分局前进工商所工会委员会,福田区福民社区残疾人活动室
,深圳市城市管理行政执法监察支队,宝安区文化市场管理工作领导小组办公室,宝安区福永街道城管行政执法队,,福田街道福安社区居民委员会,,宝安公安分局松元社区警务室,深圳市南山区动物防疫监督所,松岗法院,,,深圳市公安局消防支队福田中队,福田工商分局,宝安区地方税务局沙井税务所办税服务厅,,,广东省公路管理局机荷东路政队,,,,宝安区新安街道劳动管理所办公室,,恒信地产丽湖店,美国THE-BRASS-KEY;-INC.深圳代表处,广西壮族自治区劳动厅驻深圳市劳动管理站宝安分站,宝安区个体劳动者协会第五分会,福永街道和平社区残疾人服务站
,深圳特区管理线鸡场工作口,宝安区扫黄打非领导小组办公室,宝安区石岩街道人民调解委员会,,福永街道办事处凤凰社区居民委员会,,宝安公安分局警务室,深圳市罗湖区公安司法鉴定中心,松岗法院,,,深圳市公安局消防支队,福民工商所,宝安区税务局龙华税务所,,,光明公路站,,,,宝安区市场监督管理分局民治监管所,,华诚地产又一村分行,美国MRP电子有限公司深圳代表处,广西城乡规划设计院深圳分院,宝安个体劳动者协会第十七分会,福田村福田社区星光老年之家
,深圳市交通局客运管理分局,宝安公路管理中心,宝安区石岩街道旧城改造办公室,,福民社区狮径二居民小组,,宝安区交警大队石岩中队,深圳出入境检验检疫局动植物检验检疫技术中心,深圳市宝安新区人民法院法官综治信访维稳工作站,,,深圳沙嘴实业有限公司,福田工商所市场巡查办公室,宝安区地方税务局福永税务所办税服务厅,,,光明公路站,,,,宝安区观澜街道信访办公室,,淮日地产,美国美洲集团深圳代表处,广西壮族自治区商务厅驻深圳办事处,宝安个体劳动者协会第十七分会,福田区华富街道田面社区社会捐助接收工作点
,深圳市报刊发行局,宝安公路管理中心,宝安区新安街道劳动保障事务所,,高发社区居委会,,宝安公安分局灵芝园社区警务室,深圳市罗湖区公证处,深圳市福田区人民法院执行庭,,,松岗街道红花村城中村兼职消防队,福田工商分局,宝安区地方税务局沙井税务所,,,光明公路站,,,,宝安市场监督管理分局新安所,,和记住宿,美国思睿逻辑中国控股有限公司深圳代表处,广西壮族自治区人民政府驻深圳办事处,宝安区观澜街道爱国卫生活动委员会办公室,广东省老年基金会
,深圳市自学考试办公室书城注册站,宝安公路管理中心,宝安区人大常委会新安街道工作委员会,,桂园街道红村社区居民委员会,,宝安区新安街道建安社区维护稳定及社会治安综合治理办公室,书城培训中心人才测评室,深圳市龙岗区人民法院立案庭,,,深圳市公安消防特勤大队,福民工商所,宝安区地方税务局松岗税务所办税服务厅,,,横岗交警中队六约扣车场,,,,宝安区民治街道地政监察队,,河西金雅新苑物业管理处,美国MSC软件公司深圳代表处,广州市人民政府驻深圳办事处,宝安区观澜街道计划生育协会,共享之家颐养中心
,深圳市人民政府侨务办公室,宝安公路管理中心,宝安区新安街道劳动管理所,,桂园街道老围社区居民委员会,,宝安公路巡逻民警大队一中队,深圳市饲料监测所,深圳市宝安区松岗人民法庭,,,深圳市森林防火指挥部办公室,福田工商所市场巡查办公室,福永国税,,,横岗交通服务站,,,,宝安区龙华镇文化广场管理处,,和黄地产有限公司,美国旅游投资集团有限公司深圳办事处,广州市人民政府驻深圳办事处,宝安区个体私营企业协会第十六分会,公明镇茨田埔星光老年之家
,深圳出口加工区招商处,宝安公路管理中心,宝安区人大常委会西乡街道工作委员会,,桂园街道大塘龙社区居民委员会,,宝安区新安街道建安社区治安联防队,深圳市公安局法医鉴定委员会法医门诊,深圳市南山区人民法院执行局,,,深圳市森林防火指挥部,福田工商所市场巡查办公室,福永国税办税服务厅,,,湖北省公安厅交警总队驻深圳工作站,,,,宝安区龙华街道人民调解委员会,,景河田地产星湖分行,美国TOWNLEY-INC深圳代表处,广东省审计厅驻深圳特派员办事处,宝安区中英公学董事会,公明福利院
,深圳市老龄工作委员会办公室,宝安公路管理中心,宝安区西乡街道市政服务中心,,岗头社区新围仔居民小组,,北方物业管理公司弘雅花园管理处内部冶安保卫队,深圳市信息工程质量监督检验总站(福中路),深圳市人事争议仲裁委员会,,,松岗街道红花村城中村兼职消防队,福田工商所,福永国税,,,罗湖大队交通违法处理室,,,,宝安区龙华街道普及法律常识领导小组办公室,,嘉华置业,美国厦好科技有限公司深圳代表处,广东省公安厅深圳出入境签证办事处综合楼,宝安区黄田联辉塑胶制品厂工会基层委员会,观澜镇敬老院
,深圳市拥政爱民工作领导小组办公室,宝安公路管理中心,宝安区西乡街道城市管理办公室,,岗头社区风门坳居民小组,,宝山派出所,深圳市港口工程质量监督站,西乡法庭,,,深圳市公安局福田分局消防监督管理大队,福田工商行政管理分局皇岗工商行政管理所,国家税务总局深圳市前海税务局办税服务厅,,,罗湖大队办理路政业务室,,,,宝安区龙华镇处理历史遗留违法建筑信息、普查工作办公室,,吉顺地产,美国环辉公司深圳办事处,广西城乡规划设计院深圳分院,宝安区老年体育协会,公明福利院
,深圳市社会捐助接收管理服务中心(新闻大厦),宝安公路管理中心,布吉计生中心,,高发社区居委会,,宝安区综合应急救援大队西乡中队,深圳市工艺服装职业技能鉴定所,西乡法庭,,,水围消防应急分队,福田工商所,国家税务总局海洋石油税务管理局深圳征收处,,,龙岗巡警大队车辆违例处理室,,,,宝安区龙华街道城市建设办公室,,静居佳地产鑫茂分行,美国瑞科信公司深圳代表处,广西壮族自治区人民政府驻深圳办事处,宝安区福永街道福利院工会委员会,观澜街道大水坑社区残疾人服务站
,深圳市人民政府港澳事务办公室,宝安公路管理中心,布吉街道大综管(综治信访维稳)中心综合服务平台,,华航社区居委会(华丽装饰大厦2栋西),,宝山派出所六联处警点,深圳市互联网公证处,中国国际经济贸易仲裁委员会华南分会调解中心,,,深圳市森林防火指挥部,港湾工商所,公明国税分局,,,龙岗巡警大队扣车场,,,,宝安区观澜街道农村城市化历史遗留违法建筑信息普查工作办公室,,凯德商用房产管理咨询有限公司深圳分公司,美国风河系统国际公司深圳代表处,广东省审计厅驻深圳特派员办事处,宝安区关心下一代之家,观澜街道福民社区义工服务站
,深圳市语言文字工作委员会办公室,宝安区城市管理办公室排水管理处1号雨水泵站,宝安区城市管理行政执法局华龙街道执法队,,蚝二社区居委会(沙三路),,白芒派出所,深圳市第五职业技能鉴定所,,,,深圳市金运达国际物流有限公司义务消防队,工商行政管理,公明国税分局办税服务厅,,,龙岗交通运输局扣车场(平湖大街),,,,步行街管理办公室,,联冠地产顾问有限公司,美国马迪斯有限公司深圳代表处,河北省武安市人民政府驻深圳市办事处,宝安区沙井街道凯声曲艺协会,华红社区星光老年之家
,深圳市余泥渣土排放管理办公室,宝安区环保水务工程建设管理中心,宝安区石岩街道旧城改造办公室,,黄贝街道怡景社区居民委员会,,坂田派出所,深圳市室内设计职业技能鉴定所,,,,深圳市森林防火指挥部办公室,桂园工商所,光明新区地方税务局公明服务厅,,,龙岗区交通局坑梓交通管理所,,,,宝安区福永街道安全生产监督管理办公室,,联和地产,美国Woodstream-Corporatiom深圳代表处,湖北省襄樊市驻深圳流动党服务中心,宝安区沙井街道企业离退休协会,皇岗村老人之家
,深圳市住房公积金管理中心办事大厅,宝安区政府,宝安区石岩街道城市建设办公室,,华富街道黄木岗社区居民委员会,,坂田派出所治安报警点,深圳市药品医疗器械评价中心,,,,新南社区消防安全委员会,工商行政管理局,光明新区地方税务局办税服务厅,,,罗湖大队办理路政业务室,,,,宝安区福永街道办事处地政监察协管队,,丽海地产,马来西亚博世软件科技深圳代表处,惠东县人民政府驻深圳办事处,宝安区新安街道办事处上合小学教育工会,皇岗村老人之家
,深圳市国有资产监管委,宝安区人大常委会,宝安区石岩街道人民调解委员会,,海山街道社区居民委员会,,宝安区综合应急救援大队西乡中队,深圳市司法鉴定管理办公室,,,,新洲实业股份公司安全办公室消防应急分队,工商行政管理(樟富北路),观澜地税所(新澜大街),,,龙岗交通运输局扣车场(平湖大街),,,,宝安区福永街道人会调解委员会,,美联物业宝安南分行,美国AMERICANACCESSORIESINTERNATIONAL深圳代表处,河南省信阳市人民政府驻深圳办事处,宝安区民治街道商会,皇岗村老人之家
